local_index_1based,local_index_0based,neuron_id,celltype,side,additional_annotations,level_7_cluster,is_orn,is_left_orn,is_right_orn,is_mbon,is_left_mbon,is_right_mbon
374,373,16977881,KC,left,KC,30,0,0,0,0,0,0
375,374,17013073,MBON,right,MBON-o1; CN-60,64,0,0,0,1,0,1
376,375,17016974,MBON,left,MBON-m1; CN-62,82,0,0,0,1,1,0
377,376,17147410,KC,left,KC,34,0,0,0,0,0,0
378,377,17147698,MBON,left,MBON-b1,59,0,0,0,1,1,0
379,378,17355757,MBON,left,MBON-a2,59,0,0,0,1,1,0
380,379,17434825,LN,left,Multiglomerular PN 4; LHN-11; CN-47,32,0,0,0,0,0,0
381,380,17525174,LN,right,no official annotation,53,0,0,0,0,0,0
382,381,17591442,LN,right,CN-5,41,0,0,0,0,0,0
383,382,17671219,LN,right,LHN-13; CN-49,32,0,0,0,0,0,0
384,383,17776906,LN,left,no official annotation,28,0,0,0,0,0,0
385,384,17822238,LN,right,CN-2,32,0,0,0,0,0,0
386,385,17844900,LN,left,no official annotation,22,0,0,0,0,0,0
387,386,18028397,MBON,right,MBON-k1,59,0,0,0,1,0,1
388,387,18598859,LN,right,no official annotation,22,0,0,0,0,0,0
389,388,21664445,LN,right,no official annotation,28,0,0,0,0,0,0
