episode,return_raw,return_ema
1,19.09009520622198,19.09009520622198
2,93.74582533448891,22.82288171263533
3,34.34523344630955,23.398999299319037
4,12.510456519429653,22.85457216032457
5,26.03224300236835,23.013455702426754
6,55.1747719994833,24.621521517279582
7,36.21255435533992,25.201073159182595
8,34.84001897391392,25.683020449919162
9,7.04266618490357,24.751002736668383
10,21.561951361451474,24.59155016790754
11,164.69852776957995,31.59689904799116
12,61.98534424841939,33.11632130801257
13,27.883489584488316,32.85467972183636
14,24.459567946016914,32.434924133045385
15,16.63473475105431,31.64491466394583
16,88.44919605272716,34.4851287333849
17,46.38928542601001,35.08033656801616
18,36.64464770058379,35.15855212464454
19,65.4609311425675,36.67367107554068
20,15.405249217156479,35.61024998262147
21,47.522112951716025,36.20584313107619
22,23.064243165746042,35.54876313280968
23,86.08361098091702,38.07550552521505
24,21.889260326649868,37.26619326528679
25,49.96034837851239,37.90090102094807
26,47.6858952235759,38.39015073107946
27,52.90960091289861,39.11612324017042
28,63.835109501698454,40.35207255324682
29,76.73804218622288,42.17137103489562
30,10.37369297129749,40.58148713171571
31,30.003730051454742,40.05259927770266
32,15.07165056792501,38.80355184221378
33,129.95447840591044,43.361098170398606
34,21.05198714813574,42.245642619285455
35,21.159671332814202,41.19134405496189
36,69.66569599182361,42.61506165180497
37,21.21597326032842,41.54510723223114
38,12.352542231480841,40.08547898219363
39,60.78265047097555,41.12033755663273
40,9.486411358874657,39.538641246744824
41,71.67967883175278,41.14569312599522
42,15.526749464944873,39.864745942942704
43,85.74070725890903,42.15854400874102
44,39.7614133759837,42.038687477103146
45,40.81252119065633,41.97737916278081
46,72.89209813456196,43.52311511136986
47,21.916588461690658,42.4427887788859
48,48.925971439746704,42.76694791192894
49,42.71816494494677,42.764508763579826
50,23.691691892893548,41.81086792004551
51,-1.1927104103827992,39.6606890035241
52,47.98594764908062,40.07695193580192
53,42.827262655530916,40.214467471788375
54,12.824294169358119,38.84495880666686
55,37.076287588510816,38.75652524575906
56,11.848233185025064,37.411110642722356
57,26.75355808264595,36.87823301471854
58,20.84673348908741,36.07665803843698
59,13.873309385114316,34.966490605770844
60,69.98975844217725,36.717653997591164
61,38.51698437468093,36.807620516445645
62,34.60266623085045,36.69737280216589
63,35.25596535528649,36.625302429821915
