episode,step_raw,step_ema
1,300.0,300.0
2,300.0,300.0
3,300.0,300.0
4,300.0,300.0
5,300.0,300.0
6,300.0,300.0
7,300.0,300.0
8,300.0,300.0
9,300.0,300.0
10,300.0,300.0
11,161.0,293.05
12,200.0,288.3975
13,300.0,288.977625
14,300.0,289.52874375
15,300.0,290.05230656249995
16,300.0,290.54969123437496
17,300.0,291.0222066726562
18,300.0,291.47109633902335
19,300.0,291.8975415220722
20,300.0,292.30266444596856
21,300.0,292.68753122367013
22,300.0,293.05315466248663
23,300.0,293.4004969293623
24,300.0,293.73047208289415
25,300.0,294.0439484787494
26,300.0,294.34175105481194
27,300.0,294.6246635020713
28,300.0,294.89343032696775
29,300.0,295.14875881061937
30,300.0,295.3913208700884
31,300.0,295.621754826584
32,300.0,295.8406670852548
33,279.0,294.998633730992
34,300.0,295.24870204444244
35,300.0,295.4862669422203
36,300.0,295.71195359510926
37,300.0,295.9263559153538
38,300.0,296.13003811958606
39,300.0,296.32353621360676
40,300.0,296.5073594029264
41,300.0,296.6819914327801
42,300.0,296.8478918611411
43,300.0,297.005497268084
44,300.0,297.1552224046798
45,300.0,297.29746128444583
46,300.0,297.4325882202235
47,300.0,297.5609588092123
48,300.0,297.68291086875166
49,300.0,297.7987653253141
50,300.0,297.90882705904835
51,186.0,292.3133857060959
52,300.0,292.6977164207911
53,300.0,293.0628305997515
54,300.0,293.40968906976394
55,300.0,293.73920461627574
56,300.0,294.05224438546196
57,300.0,294.3496321661888
58,300.0,294.63215055787936
59,300.0,294.9005430299854
60,300.0,295.1555158784861
61,300.0,295.39774008456175
62,300.0,295.62785308033364
63,300.0,295.8464604263169
64,300.0,296.0541374050011
65,300.0,296.251430534751
66,300.0,296.4388590080135
67,300.0,296.6169160576128
68,300.0,296.7860702547321
69,300.0,296.94676674199553
70,300.0,297.0994284048957
71,300.0,297.2444569846509
72,300.0,297.38223413541834
73,300.0,297.5131224286474
74,300.0,297.63746630721505
75,300.0,297.75559299185426
76,300.0,297.8678133422615
77,300.0,297.97442267514845
78,300.0,298.075701541391
79,300.0,298.17191646432144
80,300.0,298.26332064110534
81,300.0,298.35015460905004
82,300.0,298.4326468785975
83,300.0,298.5110145346676
84,300.0,298.5854638079342
85,300.0,298.6561906175375
86,300.0,298.7233810866606
87,300.0,298.78721203232755
88,300.0,298.84785143071116
89,300.0,298.9054588591756
90,300.0,298.9601859162168
91,300.0,299.01217662040597
92,300.0,299.06156778938566
93,300.0,299.1084893999164
94,300.0,299.15306492992056
95,300.0,299.19541168342454
96,300.0,299.2356410992533
97,300.0,299.27385904429065
98,300.0,299.3101660920761
99,300.0,299.3446577874723
100,300.0,299.37742489809864
101,300.0,299.4085536531937
102,300.0,299.438125970534
103,300.0,299.46621967200724
104,300.0,299.4929086884069
105,300.0,299.5182632539865
106,300.0,299.5423500912872
107,300.0,299.5652325867228
108,300.0,299.58697095738665
109,300.0,299.6076224095173
110,300.0,299.6272412890414
111,300.0,299.64587922458935
112,300.0,299.6635852633599
113,300.0,299.6804060001919
114,300.0,299.6963857001823
115,300.0,299.7115664151732
116,300.0,299.7259880944145
117,300.0,299.73968868969376
118,300.0,299.75270425520904
119,300.0,299.7650690424486
120,300.0,299.7768155903262
121,300.0,299.7879748108099
122,300.0,299.7985760702694
123,300.0,299.80864726675594
124,300.0,299.81821490341815
125,300.0,299.8273041582472
126,300.0,299.8359389503348
127,300.0,299.84414200281805
128,300.0,299.85193490267716
129,300.0,299.8593381575433
130,300.0,299.8663712496661
131,300.0,299.8730526871828
132,300.0,299.87940005282366
133,300.0,299.88543005018244
134,300.0,299.8911585476733
135,300.0,299.89660062028963
136,300.0,299.90177058927515
137,300.0,299.9066820598114
138,300.0,299.9113479568208
139,300.0,299.91578055897975
140,300.0,299.91999153103075
141,300.0,299.9239919544792
142,300.0,299.9277923567552
143,300.0,299.9314027389174
144,300.0,299.93483260197155
145,300.0,299.93809097187295
146,300.0,299.9411864232793
147,300.0,299.9441271021153
148,300.0,299.94692074700953
149,300.0,299.94957470965903
150,300.0,299.9520959741761
151,300.0,299.95449117546724
152,300.0,299.95676661669387
153,300.0,299.95892828585914
154,300.0,299.96098187156616
155,300.0,299.9629327779878
156,300.0,299.9647861390884
157,300.0,299.966546832134
158,300.0,299.96821949052725
159,300.0,299.96980851600085
160,300.0,299.9713180902008
161,300.0,299.97275218569075
162,300.0,299.9741145764062
163,300.0,299.97540884758587
164,300.0,299.9766384052066
165,300.0,299.97780648494626
166,300.0,299.97891616069893
167,300.0,299.979970352664
168,300.0,299.9809718350308
169,300.0,299.98192324327925
170,300.0,299.98282708111526
171,300.0,299.9836857270595
172,217.0,295.8345014407065
173,300.0,296.0427763686712
174,300.0,296.24063755023764
175,300.0,296.4286056727257
176,300.0,296.60717538908943
177,300.0,296.77681661963493
178,300.0,296.93797578865315
179,300.0,297.0910769992205
180,300.0,297.2365231492594
181,300.0,297.37469699179644
182,300.0,297.5059621422066
183,300.0,297.6306640350963
184,300.0,297.74913083334144
185,300.0,297.8616742916744
186,300.0,297.96859057709065
187,300.0,298.0701610482361
188,300.0,298.1666529958243
189,300.0,298.25832034603303
190,300.0,298.3454043287314
191,300.0,298.4281341122948
192,300.0,298.50672740668006
193,300.0,298.581391036346
194,300.0,298.6523214845287
195,300.0,298.71970541030225
196,300.0,298.78372013978714
197,300.0,298.8445341327978
198,300.0,298.90230742615785
199,300.0,298.95719205484994
200,172.0,292.6093324521075
201,300.0,292.97886582950207
202,300.0,293.32992253802695
203,300.0,293.6634264111256
204,300.0,293.9802550905693
205,300.0,294.2812423360408
206,300.0,294.56718021923876
207,300.0,294.83882120827684
208,300.0,295.096880147863
209,300.0,295.3420361404698
210,300.0,295.5749343334463
211,300.0,295.796187616774
212,300.0,296.00637823593524
213,300.0,296.2060593241385
214,300.0,296.39575635793153
215,300.0,296.5759685400349
216,300.0,296.7471701130332
217,300.0,296.9098116073815
218,300.0,297.06432102701245
219,300.0,297.21110497566184
220,300.0,297.35054972687874
221,300.0,297.4830222405348
222,300.0,297.60887112850804
223,300.0,297.72842757208264
224,300.0,297.8420061934785
225,300.0,297.94990588380455
226,300.0,298.0524105896143
227,300.0,298.14979006013357
228,300.0,298.2423005571269
229,300.0,298.3301855292705
230,300.0,298.41367625280697
231,300.0,298.49299244016663
232,300.0,298.56834281815827
233,300.0,298.63992567725035
234,300.0,298.7079293933878
235,300.0,298.7725329237184
236,300.0,298.8339062775325
237,300.0,298.8922109636558
238,300.0,298.947600415473
239,300.0,299.00022039469934
240,300.0,299.05020937496437
241,300.0,299.0976989062161
242,300.0,299.1428139609053
243,300.0,299.18567326286
244,300.0,299.226389599717
245,300.0,299.2650701197311
246,300.0,299.3018166137445
247,300.0,299.33672578305726
248,300.0,299.3698894939044
249,300.0,299.4013950192092
250,300.0,299.4313252682487
251,300.0,299.45975900483626
252,300.0,299.48677105459444
253,300.0,299.5124325018647
254,300.0,299.5368108767714
255,300.0,299.55997033293283
256,300.0,299.58197181628617
257,300.0,299.60287322547185
258,300.0,299.62272956419827
259,300.0,299.64159308598835
260,300.0,299.65951343168894
261,300.0,299.67653776010445
262,300.0,299.6927108720992
263,300.0,299.70807532849426
264,300.0,299.72267156206954
265,300.0,299.73653798396606
266,300.0,299.74971108476774
267,300.0,299.76222553052935
268,300.0,299.7741142540029
269,300.0,299.78540854130273
270,300.0,299.7961381142376
271,300.0,299.8063312085257
272,300.0,299.8160146480994
273,300.0,299.8252139156944
274,300.0,299.8339532199097
275,300.0,299.8422555589142
276,300.0,299.85014278096844
277,300.0,299.85763564192
278,300.0,299.864753859824
279,300.0,299.8715161668328
280,300.0,299.8779403584912
281,300.0,299.8840433405666
282,300.0,299.8898411735383
283,300.0,299.89534911486135
284,300.0,299.90058165911825
285,300.0,299.90555257616234
286,300.0,299.9102749473542
287,300.0,299.91476119998646
288,300.0,299.91902313998713
289,300.0,299.9230719829878
290,300.0,299.92691838383837
291,300.0,299.93057246464645
292,300.0,299.9340438414141
293,300.0,299.9373416493434
294,300.0,299.9404745668762
295,41.0,286.9934508385324
296,300.0,287.6437782966058
297,300.0,288.2615893817755
298,300.0,288.84850991268667
299,300.0,289.40608441705234
300,300.0,289.9357801961997
301,300.0,290.43899118638967
302,300.0,290.91704162707015
303,300.0,291.3711895457166
304,300.0,291.8026300684308
305,300.0,292.21249856500924
306,300.0,292.60187363675874
307,300.0,292.9717799549208
308,300.0,293.32319095717475
309,300.0,293.657031409316
310,300.0,293.9741798388502
